dataset,method,seed,C,tol,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
a9a,DCD_L2_perm,42,0.001,1,0.09197187423706055,10.0,14.514072670964234,0.8497918514979867,0.7275652484805148,0.5857800805987334,0.6490192951682348,0.9025789859193488
a9a,LinearSVC_L1,42,0.001,1,0.035936594009399414,8.0,,0.8474032621306217,0.7294292068198666,0.5664939550949913,0.6377187297472456,0.8988103799773024
a9a,LinearSVC_L2,42,0.001,1,0.06971335411071777,12.0,,0.8490411519825292,0.7256795422031473,0.5840529648819804,0.6472089314194578,0.9024148334505188
a9a,SVC_linear,42,0.001,1,47.512741565704346,5000.0,,0.2403603357674196,0.2377200794683839,0.9988485895221646,0.3840407282386143,0.8883590047195058
a9a,DCD_L2_perm,142,0.001,1,0.09415078163146973,10.0,14.50920061277531,0.8490411519825292,0.7325982081323226,0.5968556990454801,0.6577970297029703,0.9052523276000982
a9a,LinearSVC_L1,142,0.001,1,0.03949165344238281,9.0,,0.8487681703405446,0.7434876989869754,0.5769230769230769,0.6496996522288966,0.90214091267125
a9a,LinearSVC_L2,142,0.001,1,0.05416560173034668,10.0,,0.8490411519825292,0.7322780454232622,0.5974171813587872,0.658008658008658,0.90522372445277
a9a,SVC_linear,142,0.001,1,47.063629388809204,5000.0,,0.6856616392547601,0.4331797235023041,0.9500280741156654,0.5950413223140496,0.8910232996175633
a9a,DCD_L2_perm,242,0.001,1,0.10106945037841797,9.0,14.45630573489194,0.8481539616460793,0.7316215265564544,0.5872388481084133,0.6515270164447925,0.9010333129869978
a9a,LinearSVC_L1,242,0.001,1,0.027857303619384766,8.0,,0.8445369548897836,0.7258756254467477,0.5734048560135516,0.6406940063091483,0.8974314474934699
a9a,LinearSVC_L2,242,0.001,1,0.06328630447387695,10.0,,0.8482222070565755,0.7323695345557123,0.5863918690005646,0.6513013483850737,0.9011082205683716
a9a,SVC_linear,242,0.001,1,46.09334206581116,5000.0,,0.5695079505903228,0.3573638613861386,0.9782608695652174,0.5234929747696027,0.8780546501117186
a9a,DCD_L2_perm,42,0.01,1,0.4986100196838379,72.0,144.20426232608304,0.8496553606769944,0.7257548845470693,0.5880829015544041,0.6497058355859437,0.9025676819297306
a9a,LinearSVC_L1,42,0.01,1,0.17316770553588867,66.0,,0.8489729065720331,0.723819666311679,0.5869314910765688,0.6482276267683993,0.9007734375092536
a9a,LinearSVC_L2,42,0.01,1,0.563593864440918,86.0,,0.849450624445506,0.7246633593196314,0.5886586067933218,0.6496188055908514,0.9025838268078414
a9a,SVC_linear,42,0.01,1,49.536765575408936,5000.0,,0.2649969289565276,0.243062403155374,0.9933793897524468,0.3905613399728384,0.8499901997757433
a9a,DCD_L2_perm,142,0.01,1,0.47269225120544434,64.0,144.18693478924723,0.8493141336245138,0.7323266986959506,0.5991016282987086,0.6590487955528104,0.9051946909926056
a9a,LinearSVC_L1,142,0.01,1,0.15444159507751465,52.0,,0.8489729065720331,0.7329879101899828,0.5957327344188658,0.6572711785658975,0.9034268646125962
a9a,LinearSVC_L2,142,0.01,1,0.41726231575012207,67.0,,0.8495871152664983,0.7331730769230769,0.5993823694553622,0.6595613222119246,0.9052558460403448
a9a,SVC_linear,142,0.01,1,49.52524971961975,5000.0,,0.2876544052412475,0.2537602062741727,0.9946659180235824,0.4043597352202693,0.8465701864788517
a9a,DCD_L2_perm,242,0.01,1,0.527083158493042,65.0,143.66580418902436,0.8478809800040947,0.7293049249039469,0.5894974590626765,0.6519906323185012,0.9012298564544088
a9a,LinearSVC_L1,242,0.01,1,0.12006521224975586,39.0,,0.8452194089947451,0.7221059972105998,0.5846979107848673,0.6461778471138846,0.8988981420023121
a9a,LinearSVC_L2,242,0.01,1,0.3401377201080322,62.0,,0.8478809800040947,0.7299474605954466,0.5883681535855448,0.6515554166015319,0.9013540078935516
a9a,SVC_linear,242,0.01,1,48.34592270851135,5000.0,,0.2548966082030983,0.2443150305047143,0.994918125352908,0.3922965601692085,0.8555597611312081
a9a,DCD_L2_perm,42,0.1,1,4.4687819480896,687.0,1441.1563778487637,0.8497236060874906,0.725531914893617,0.5889464594127807,0.6501429933269781,0.902666920143828
